wkurz;sprengel;ptname;ptlang;listenplatz;gesamt;unguel;gueltig;stimmen;;
GRGRAZ03;101;ÖVP;Österreichische Volkspartei;1;277;1;276;82;;
GRGRAZ03;101;SPÖ;Sozialdemokratische Partei Österreichs;2;277;1;276;48;;
GRGRAZ03;101;FPÖ;Freiheitliche Partei Österreichs;3;277;1;276;16;;
GRGRAZ03;101;GRÜNE;Die Grünen - Die Grüne Alternative;4;277;1;276;36;;
GRGRAZ03;101;KPÖ;Kommunistische Partei Österreichs;5;277;1;276;91;;
GRGRAZ03;101;GVP;Grazer Verkehrspartei;6;277;1;276;0;;
GRGRAZ03;101;RWA;Reif für die Wirtschaft und Arbeit;7;277;1;276;2;;
GRGRAZ03;101;LIF;Liberales Forum;8;277;1;276;1;;
GRGRAZ03;102;ÖVP;Österreichische Volkspartei;1;245;1;244;90;;
GRGRAZ03;102;SPÖ;Sozialdemokratische Partei Österreichs;2;245;1;244;40;;
GRGRAZ03;102;FPÖ;Freiheitliche Partei Österreichs;3;245;1;244;23;;
GRGRAZ03;102;GRÜNE;Die Grünen - Die Grüne Alternative;4;245;1;244;32;;
GRGRAZ03;102;KPÖ;Kommunistische Partei Österreichs;5;245;1;244;56;;
GRGRAZ03;102;GVP;Grazer Verkehrspartei;6;245;1;244;0;;
GRGRAZ03;102;RWA;Reif für die Wirtschaft und Arbeit;7;245;1;244;3;;
GRGRAZ03;102;LIF;Liberales Forum;8;245;1;244;0;;
GRGRAZ03;103;ÖVP;Österreichische Volkspartei;1;255;0;255;90;;
GRGRAZ03;103;SPÖ;Sozialdemokratische Partei Österreichs;2;255;0;255;42;;
GRGRAZ03;103;FPÖ;Freiheitliche Partei Österreichs;3;255;0;255;38;;
GRGRAZ03;103;GRÜNE;Die Grünen - Die Grüne Alternative;4;255;0;255;14;;
GRGRAZ03;103;KPÖ;Kommunistische Partei Österreichs;5;255;0;255;70;;
GRGRAZ03;103;GVP;Grazer Verkehrspartei;6;255;0;255;1;;
GRGRAZ03;103;RWA;Reif für die Wirtschaft und Arbeit;7;255;0;255;0;;
GRGRAZ03;103;LIF;Liberales Forum;8;255;0;255;0;;
GRGRAZ03;104;ÖVP;Österreichische Volkspartei;1;211;3;208;80;;
GRGRAZ03;104;SPÖ;Sozialdemokratische Partei Österreichs;2;211;3;208;34;;
GRGRAZ03;104;FPÖ;Freiheitliche Partei Österreichs;3;211;3;208;14;;
GRGRAZ03;104;GRÜNE;Die Grünen - Die Grüne Alternative;4;211;3;208;28;;
GRGRAZ03;104;KPÖ;Kommunistische Partei Österreichs;5;211;3;208;48;;
GRGRAZ03;104;GVP;Grazer Verkehrspartei;6;211;3;208;3;;
GRGRAZ03;104;RWA;Reif für die Wirtschaft und Arbeit;7;211;3;208;0;;
GRGRAZ03;104;LIF;Liberales Forum;8;211;3;208;1;;
GRGRAZ03;105;ÖVP;Österreichische Volkspartei;1;247;1;246;99;;
GRGRAZ03;105;SPÖ;Sozialdemokratische Partei Österreichs;2;247;1;246;30;;
GRGRAZ03;105;FPÖ;Freiheitliche Partei Österreichs;3;247;1;246;25;;
GRGRAZ03;105;GRÜNE;Die Grünen - Die Grüne Alternative;4;247;1;246;19;;
GRGRAZ03;105;KPÖ;Kommunistische Partei Österreichs;5;247;1;246;67;;
GRGRAZ03;105;GVP;Grazer Verkehrspartei;6;247;1;246;2;;
GRGRAZ03;105;RWA;Reif für die Wirtschaft und Arbeit;7;247;1;246;0;;
GRGRAZ03;105;LIF;Liberales Forum;8;247;1;246;4;;
GRGRAZ03;106;ÖVP;Österreichische Volkspartei;1;226;0;226;93;;
GRGRAZ03;106;SPÖ;Sozialdemokratische Partei Österreichs;2;226;0;226;31;;
GRGRAZ03;106;FPÖ;Freiheitliche Partei Österreichs;3;226;0;226;23;;
